name,x,y,width,height
R239,2.3,5.3,1.5,3.3
R241,3.8,5.3,1.5,3.3
R242,5.3,5.3,1.5,3.3
R245,6.8,5.3,1.5,3.3
R246,8.3,5.3,1.5,3.3
R249,9.8,7.2,2,1.4
R249A,9.8,5.3,2,1.9
R250,11.8,5.3,1.6,3.3
R238,2.6,8.6,1.2,1
R241A,3.8,8.6,0.6,1
R240,4.4,8.6,0.6,1
R243,5.6,8.6,1.2,1
R244,6.8,8.6,1.2,1
R247,8.8,8.6,1,1
R248,9.8,8.6,1.5,1
R251,11.9,8.6,1.5,1
R236,2.3,10.3,1.8,3.5
R236A,4.1,10.3,1.8,3.5
R235,5.9,10.3,2.6,3.5
R234,8.5,10.3,2.6,3.5
R233,11.1,10.3,2.3,3.5
H236,2.3,9.6,1.8,0.7
H236A,4.1,9.6,1.8,0.7
H235,5.9,9.6,2.6,0.7
H234,8.5,9.6,2.6,0.7
H233,11.1,9.6,2.3,0.7
R255,13.4,3,0.9,1.3
R256,14.3,3,0.9,1.3
R257,15.2,3,0.9,1.3
R258,16.1,3,1,1.3
R259,17.1,3,1,1.3
R260,18.4,3,1,1.3
H254,13.4,4.3,2.4,0.7
H226,15.8,4.3,2.4,0.7
H230,18.2,4.3,1.5,0.7
R254,13.4,5.3,0.7,1
R253,14.1,5.3,0.7,1
R252,14.8,5.3,0.7,1
R226,15.8,5.3,0.8,0.6
R228,16.6,5.3,0.8,0.6
R230,17.4,5.3,0.8,0.6
H201,21,9.6,1.1,0.7
H232,13.4,9.6,1.5,0.7
H231,14.9,9.6,1.5,0.7
H220,16.4,9.6,1.5,0.7
H222,17.9,9.6,1.8,0.7
H202,19.7,9.6,1.1,0.7
R2009,18.7,6.3,1,1
R265,18.7,5,1,1.3
R261,20.4,3,1.2,1
R262,20.4,4,1.2,1
R263,20.4,5,1.2,1
R264,20.4,6,1.2,1
H261,19.4,3,1,1.3
H262,19.7,4.3,0.7,0.7
H265,19.7,5,0.7,1.3
H264,19.7,6.3,0.7,1
R220,16.4,9.6,1.5,1
R222,17.9,9.6,1.8,1
R202,19.7,9.6,1.1,1.9
R204,19.7,11.5,1.1,1
R201,21,9.6,1.1,1
R203,21,10.6,1.1,1
R205,21,11.6,1.1,1
