Receiving Node ID, Transmitting Node ID, RSSI (dBm),Sample Timestamp (ms since 1970), Formatted Timestamp
rxID, txID, rssi, timestamp, timestring
0,2,-94,1422810000000,02/01/2015 - 11:00:02.000
2,0,-95,1422810000000,02/01/2015 - 11:00:02.000
3,2,-72,1422810000000,02/01/2015 - 11:00:02.000
4,2,-79,1422810000000,02/01/2015 - 11:00:02.000
5,2,-90,1422810000000,02/01/2015 - 11:00:02.000
6,2,-86,1422810000000,02/01/2015 - 11:00:02.000
7,2,-99,1422810000000,02/01/2015 - 11:00:02.000
0,4,-62,1422810000000,02/01/2015 - 11:00:08.000
2,4,-85,1422810000000,02/01/2015 - 11:00:08.000
4,0,-57,1422810000000,02/01/2015 - 11:00:08.000
5,4,-45,1422810000000,02/01/2015 - 11:00:08.000
6,4,-56,1422810000000,02/01/2015 - 11:00:08.000
7,4,-56,1422810000000,02/01/2015 - 11:00:08.000
0,5,-65,1422810000000,02/01/2015 - 11:00:09.000
2,5,-92,1422810000000,02/01/2015 - 11:00:09.000
5,0,-66,1422810000000,02/01/2015 - 11:00:09.000
6,5,-57,1422810000000,02/01/2015 - 11:00:09.000
7,5,-65,1422810000000,02/01/2015 - 11:00:09.000
0,4,-62,1422810000000,02/01/2015 - 11:00:12.000
2,4,-85,1422810000000,02/01/2015 - 11:00:12.000
2,4,-85,1422810000000,02/01/2015 - 11:00:12.000
4,0,-57,1422810000000,02/01/2015 - 11:00:12.000
5,4,-45,1422810000000,02/01/2015 - 11:00:12.000
6,4,-56,1422810000000,02/01/2015 - 11:00:12.000
7,4,-56,1422810000000,02/01/2015 - 11:00:12.000
0,6,-84,1422810000000,02/01/2015 - 11:00:14.000
2,6,-103,1422810000000,02/01/2015 - 11:00:14.000
4,6,-55,1422810000000,02/01/2015 - 11:00:14.000
6,0,-81,1422810000000,02/01/2015 - 11:00:14.000
7,6,-57,1422810000000,02/01/2015 - 11:00:14.000
0,3,-108,1422810000000,02/01/2015 - 11:00:15.000
2,3,-68,1422810000000,02/01/2015 - 11:00:15.000
3,0,-110,1422810000000,02/01/2015 - 11:00:15.000
0,4,-62,1422810000000,02/01/2015 - 11:00:21.000
2,4,-82,1422810000000,02/01/2015 - 11:00:21.000
4,0,-57,1422810000000,02/01/2015 - 11:00:21.000
5,4,-45,1422810000000,02/01/2015 - 11:00:21.000
6,4,-56,1422810000000,02/01/2015 - 11:00:21.000
7,4,-56,1422810000000,02/01/2015 - 11:00:21.000
0,2,-103,1422810000000,02/01/2015 - 11:00:22.000
2,0,-101,1422810000000,02/01/2015 - 11:00:22.000
3,2,-72,1422810000000,02/01/2015 - 11:00:22.000
4,2,-86,1422810000000,02/01/2015 - 11:00:22.000
5,2,-88,1422810000000,02/01/2015 - 11:00:22.000
6,2,-99,1422810000000,02/01/2015 - 11:00:22.000
7,2,-85,1422810000000,02/01/2015 - 11:00:22.000
0,5,-65,1422810000000,02/01/2015 - 11:00:24.000
2,5,-83,1422810000000,02/01/2015 - 11:00:24.000
4,5,-42,1422810000000,02/01/2015 - 11:00:24.000
5,0,-67,1422810000000,02/01/2015 - 11:00:24.000
6,5,-57,1422810000000,02/01/2015 - 11:00:24.000
7,5,-66,1422810000000,02/01/2015 - 11:00:24.000
0,5,-66,1422810000000,02/01/2015 - 11:00:25.000
2,5,-87,1422810000000,02/01/2015 - 11:00:25.000
4,5,-42,1422810000000,02/01/2015 - 11:00:25.000
5,0,-67,1422810000000,02/01/2015 - 11:00:25.000
7,5,-66,1422810000000,02/01/2015 - 11:00:25.000
0,3,-108,1422810000000,02/01/2015 - 11:00:27.000
2,3,-68,1422810000000,02/01/2015 - 11:00:27.000
3,0,-109,1422810000000,02/01/2015 - 11:00:27.000
0,3,-106,1422810000000,02/01/2015 - 11:00:28.000
2,3,-68,1422810000000,02/01/2015 - 11:00:28.000
3,0,-109,1422810000000,02/01/2015 - 11:00:28.000
0,6,-84,1422810000000,02/01/2015 - 11:00:29.000
2,6,-102,1422810000000,02/01/2015 - 11:00:29.000
4,6,-55,1422810000000,02/01/2015 - 11:00:29.000
5,6,-61,1422810000000,02/01/2015 - 11:00:29.000
6,0,-82,1422810000000,02/01/2015 - 11:00:29.000
7,6,-57,1422810000000,02/01/2015 - 11:00:29.000
0,2,-108,1422810000000,02/01/2015 - 11:00:34.000
2,0,-104,1422810000000,02/01/2015 - 11:00:34.000
3,2,-72,1422810000000,02/01/2015 - 11:00:34.000
4,2,-81,1422810000000,02/01/2015 - 11:00:34.000
5,2,-90,1422810000000,02/01/2015 - 11:00:34.000
6,2,-97,1422810000000,02/01/2015 - 11:00:34.000
7,2,-86,1422810000000,02/01/2015 - 11:00:34.000
0,4,-63,1422810000000,02/01/2015 - 11:00:38.000
2,4,-84,1422810000000,02/01/2015 - 11:00:38.000
4,0,-58,1422810000000,02/01/2015 - 11:00:38.000
6,4,-56,1422810000000,02/01/2015 - 11:00:38.000
7,4,-56,1422810000000,02/01/2015 - 11:00:38.000
0,2,-93,1422810000000,02/01/2015 - 11:00:45.000
2,0,-91,1422810000000,02/01/2015 - 11:00:45.000
3,2,-72,1422810000000,02/01/2015 - 11:00:45.000
4,2,-82,1422810000000,02/01/2015 - 11:00:45.000
5,2,-93,1422810000000,02/01/2015 - 11:00:45.000
6,2,-97,1422810000000,02/01/2015 - 11:00:45.000
7,2,-86,1422810000000,02/01/2015 - 11:00:45.000
0,5,-65,1422810000000,02/01/2015 - 11:00:46.000
2,5,-90,1422810000000,02/01/2015 - 11:00:46.000
4,5,-42,1422810000000,02/01/2015 - 11:00:46.000
5,0,-67,1422810000000,02/01/2015 - 11:00:46.000
6,5,-57,1422810000000,02/01/2015 - 11:00:46.000
7,5,-66,1422810000000,02/01/2015 - 11:00:46.000
0,6,-83,1422810000000,02/01/2015 - 11:00:47.000
2,6,-97,1422810000000,02/01/2015 - 11:00:47.000
4,6,-55,1422810000000,02/01/2015 - 11:00:47.000
5,6,-60,1422810000000,02/01/2015 - 11:00:47.000
6,0,-80,1422810000000,02/01/2015 - 11:00:47.000
7,6,-56,1422810000000,02/01/2015 - 11:00:47.000
0,3,-107,1422810000000,02/01/2015 - 11:00:53.000
2,3,-69,1422810000000,02/01/2015 - 11:00:53.000
3,0,-109,1422810000000,02/01/2015 - 11:00:53.000
0,6,-84,1422810000000,02/01/2015 - 11:00:54.000
2,6,-97,1422810000000,02/01/2015 - 11:00:54.000
4,6,-55,1422810000000,02/01/2015 - 11:00:54.000
5,6,-60,1422810000000,02/01/2015 - 11:00:54.000
6,0,-82,1422810000000,02/01/2015 - 11:00:54.000
7,6,-56,1422810000000,02/01/2015 - 11:00:54.000
0,2,-95,1422810000000,02/01/2015 - 11:00:56.000
2,0,-93,1422810000000,02/01/2015 - 11:00:56.000
3,2,-72,1422810000000,02/01/2015 - 11:00:56.000
4,2,-80,1422810000000,02/01/2015 - 11:00:56.000
5,2,-92,1422810000000,02/01/2015 - 11:00:56.000
6,2,-97,1422810000000,02/01/2015 - 11:00:56.000
7,2,-86,1422810000000,02/01/2015 - 11:00:56.000
0,2,-94,1422810000000,02/01/2015 - 11:01:02.000
2,0,-92,1422810000000,02/01/2015 - 11:01:02.000
3,2,-72,1422810000000,02/01/2015 - 11:01:02.000
4,2,-80,1422810000000,02/01/2015 - 11:01:02.000
5,2,-92,1422810000000,02/01/2015 - 11:01:02.000
6,2,-97,1422810000000,02/01/2015 - 11:01:02.000
7,2,-85,1422810000000,02/01/2015 - 11:01:02.000
0,3,-107,1422810000000,02/01/2015 - 11:01:09.000
1,3,-82,1422810000000,02/01/2015 - 11:01:09.000
2,3,-69,1422810000000,02/01/2015 - 11:01:09.000
3,0,-109,1422810000000,02/01/2015 - 11:01:09.000
0,4,-62,1422810000000,02/01/2015 - 11:01:12.000
1,4,-94,1422810000000,02/01/2015 - 11:01:12.000
2,4,-82,1422810000000,02/01/2015 - 11:01:12.000
4,0,-57,1422810000000,02/01/2015 - 11:01:12.000
5,4,-45,1422810000000,02/01/2015 - 11:01:12.000
6,4,-58,1422810000000,02/01/2015 - 11:01:12.000
7,4,-58,1422810000000,02/01/2015 - 11:01:12.000
0,5,-65,1422810000000,02/01/2015 - 11:01:14.000
1,5,-91,1422810000000,02/01/2015 - 11:01:14.000
2,5,-89,1422810000000,02/01/2015 - 11:01:14.000
4,5,-42,1422810000000,02/01/2015 - 11:01:14.000
