name,x,y,width,height
R239,2.3,5.3,1.5,3.3
R241,3.8,5.3,1.5,3.3
R242,4.3,5.3,1.5,3.3
R245,5.8,5.3,1.5,3.3
R246,7.3,5.3,1.5,3.3
R249,8.8,5.3,2,1.2
R249A,8.8,4.1,2,1.9
R250,10.3,5.3,1.5,3.3
R238,2.6,6.3,1.2,1
R241A,3.8,6.3,0.6,1
R240,4.4,6.3,0.6,1
R243,5.5,6.3,1.2,1
R244,5.8,6.3,1.2,1
R247,7.8,6.3,1,1
R248,8.8,6.3,1.5,1
R251,9.8,6.3,1.5,1
R236,2.3,10.5,1.9,3.5
R236A,3.2,10.5,1.9,3.5
R235,4.1,10.5,2.8,3.5
R234,6.9,10.5,2.8,3.5
R233,9.7,10.5,2.4,3.5
H236,2.3,7,1.9,0.7
H236A,3.2,7,1.9,0.7
H235,4.1,7,2.8,0.7
H234,6.9,7,2.8,0.7
H233,9.7,7,2.4,0.7
R255,11.8,1.3,0.9,1.3
R256,12.7,1.3,0.9,1.3
R257,13.6,1.3,0.9,1.3
R258,14.6,1.3,1,1.3
R259,15.6,1.3,1,1.3
R260,17.3,1.3,1,1.3
H254,11.8,2,2.4,0.7
H226,14.2,2,2.4,0.7
H230,16.6,2,1.5,0.7
R254,11.8,3,0.7,1
R253,12.5,3,0.7,1
R252,13.2,3,0.7,1
R226,14.8,2.6,0.8,0.6
R228,15.6,2.6,0.8,0.6
R230,16.4,2.6,0.8,0.6
R224AB,17.8,6.1,3,3.5
H232,11.8,7,1.5,0.7
H231,13.3,7,1.5,0.7
H220,14.8,7,1.5,0.7
H222,16.3,7,1.8,0.7
H201,18.1,7,2.2,0.7
R2009,20.8,4.4,1,1
R265,20.8,3.3,1,1.3
R261,22,1,1.2,1
R262,22,2,1.2,1
R263,22,3,1.2,1
R264,22,4,1.2,1
H261,18.3,1.3,1.5,1.3
H262,18.1,2,1.8,0.7
H265,21.5,3.3,0.7,1
H264,21.5,4.4,0.7,1
