Receiving Node ID, Transmitting Node ID, RSSI (dBm)
rxID, txID, rssi
5,2,-90
5,4,-45
5,0,-66
5,4,-45
5,4,-45
5,2,-88
5,0,-67
5,0,-67
5,6,-61
5,2,-90
5,2,-93
5,0,-67
5,6,-60
5,6,-60
5,2,-92
5,2,-92
5,4,-45
5,0,-66
5,4,-45
5,2,-92
5,1,-90
5,6,-61
5,2,-92
5,7,-67
5,6,-61
5,2,-92
5,0,-66
5,6,-61
5,1,-90
5,2,-92
5,2,-92
5,0,-63
5,1,-91
5,4,-46
5,0,-65
5,6,-61
5,1,-90
5,2,-92
5,7,-66
5,0,-64
5,6,-61
5,2,-92
5,2,-92
5,0,-64
5,6,-60
5,2,-92
5,7,-67
5,0,-65
5,2,-92
5,4,-45
5,0,-64
5,4,-46
5,0,-64
5,1,-90
5,6,-61
5,6,-61
5,0,-64
5,2,-92
5,7,-67
5,0,-64
5,6,-60
5,6,-60
5,7,-67
5,6,-60
5,2,-92
5,7,-67
5,0,-64
5,2,-92
5,0,-64
5,0,-65
5,6,-60
5,6,-60
5,0,-65
5,2,-92
5,7,-67
5,6,-60
5,7,-67
5,6,-60
5,2,-92
5,0,-65
5,2,-92
5,0,-65
5,0,-65
5,6,-60
5,6,-60
5,4,-45
5,2,-92
5,7,-67
5,0,-65
5,6,-60
5,6,-60
5,4,-45
5,2,-92
5,0,-65
5,6,-60
5,4,-45
5,7,-67
5,0,-66
5,6,-60
5,0,-65
5,0,-66
5,6,-60
5,4,-45
5,4,-45
5,0,-66
5,6,-60
5,2,-92
5,0,-65
5,6,-61
5,6,-60
5,4,-46
5,2,-88
5,0,-66
5,6,-60
5,4,-46
5,7,-67
5,0,-66
5,6,-61
5,0,-66
5,0,-65
5,6,-61
5,1,-91
5,0,-65
5,6,-62
5,0,-65
5,6,-61
5,4,-45
5,4,-45
5,6,-62
5,2,-93
5,6,-61
5,1,-90
5,7,-65
5,0,-66
5,6,-61
5,0,-65
5,0,-64
5,1,-90
5,0,-65
5,6,-61
5,0,-64
5,6,-61
5,4,-45
5,6,-61
5,0,-66
5,6,-61
5,4,-46
5,6,-61
5,0,-65
5,6,-61
5,0,-67
5,0,-66
5,6,-61
5,0,-65
5,6,-61
5,7,-67
5,0,-65
5,4,-45
5,6,-61
5,0,-65
5,6,-61
5,4,-45
5,6,-61
5,0,-66
5,6,-61
5,7,-67
5,7,-67
5,0,-64
5,6,-61
5,0,-65
5,7,-67
5,6,-61
5,0,-64
5,6,-61
5,2,-89
5,7,-67
5,0,-65
5,4,-45
5,6,-61
5,4,-46
5,6,-61
5,0,-65
5,6,-61
5,7,-68
5,7,-68
5,6,-61
5,0,-64
5,7,-65
5,2,-92
5,2,-92
5,6,-61
5,0,-64
5,6,-61
5,2,-92
5,7,-68
5,7,-67
5,0,-63
5,2,-92
5,2,-92
5,2,-92
5,6,-61
5,2,-92
5,0,-64
5,4,-46
5,6,-61
5,0,-66
5,7,-68
5,7,-68
5,0,-65
5,6,-61
5,0,-66
5,7,-67
5,2,-92
5,2,-92
5,6,-61
5,0,-65
5,1,-90
5,7,-68
5,0,-65
5,6,-61
5,2,-91
5,2,-91
5,6,-61
5,2,-92
5,7,-67
5,0,-65
5,6,-61
5,6,-60
5,0,-65
5,7,-68
5,7,-68
5,0,-68
5,2,-91
5,6,-61
5,0,-66
5,2,-92
5,1,-90
5,7,-68
5,1,-90
5,6,-61
5,0,-65
5,4,-45
5,7,-68
5,0,-65
5,6,-61
5,1,-90
5,2,-91
5,2,-92
5,1,-90
5,7,-67
5,0,-66
5,6,-61
5,6,-61
5,0,-65
5,6,-61
5,7,-68
5,7,-68
5,2,-91
5,0,-66
5,2,-92
5,1,-90
5,7,-68
5,6,-61
5,0,-65
5,4,-46
5,2,-92
5,1,-90
5,1,-90
5,6,-61
5,0,-64
5,4,-46
5,7,-67
5,0,-64
5,6,-61
5,1,-90
5,2,-92
5,2,-92
5,1,-90
5,7,-67
5,6,-61
5,6,-61
5,7,-67
5,2,-92
5,7,-67
5,2,-92
5,1,-90
5,0,-65
5,6,-61
5,0,-65
5,4,-46
5,2,-91
5,1,-90
5,1,-90
5,6,-61
5,7,-68
5,2,-92
5,0,-64
5,6,-61
5,2,-92
5,1,-90
5,7,-67
5,0,-64
5,1,-90
5,6,-61
5,7,-67
5,2,-92
5,4,-45
5,2,-92
5,1,-90
5,2,-92
5,1,-90
5,1,-90
5,6,-61
5,7,-67
5,2,-92
5,2,-93
5,1,-90
5,6,-61
5,7,-67
5,6,-61
5,6,-61
5,7,-67
5,7,-67
5,2,-85
5,7,-67
5,2,-96
5,1,-96
5,7,-67
5,6,-61
5,1,-87
5,2,-90
5,4,-46
5,1,-91
5,6,-61
5,7,-67
5,4,-46
5,6,-61
5,6,-61
5,2,-92
5,6,-61
5,7,-67
5,1,-90
5,7,-67
5,1,-90
5,7,-67
5,2,-92
5,1,-90
5,4,-46
5,0,-66
5,0,-66
5,2,-91
5,6,-61
5,7,-67
5,1,-90
5,2,-92
5,4,-46
5,0,-66
5,0,-65
5,6,-61
5,1,-90
5,4,-45
5,0,-64
5,6,-61
5,2,-92
5,6,-61
5,7,-67
5,1,-90
5,7,-67
5,2,-92
5,7,-67
5,1,-90
5,0,-65
5,2,-92
5,4,-45
5,0,-65
5,4,-46
5,0,-65
5,2,-93
5,6,-60
5,7,-67
5,1,-90
5,2,-93
5,4,-45
5,0,-65
5,4,-45
5,0,-65
5,6,-61
5,7,-67
5,2,-92
5,0,-66
5,6,-61
5,2,-92
5,7,-67
5,1,-90
5,7,-67
5,1,-90
5,7,-67
5,2,-92
5,4,-46
5,2,-92
5,4,-46
5,4,-46
5,0,-66
5,0,-66
5,1,-90
5,6,-61
5,7,-67
5,1,-90
5,2,-92
5,4,-46
5,0,-66
5,4,-45
5,0,-66
5,0,-66
5,7,-67
5,2,-92
5,0,-66
5,7,-67
5,7,-67
5,1,-90
5,7,-67
5,4,-46
5,2,-92
5,4,-46
5,2,-92
5,4,-45
5,4,-45
5,0,-65
5,0,-66
5,0,-66
5,2,-93
5,7,-67
5,7,-67
5,1,-91
5,4,-46
5,4,-46
5,0,-65
5,0,-65
5,6,-61
5,1,-90
5,2,-92
5,0,-66
5,6,-61
5,7,-68
5,7,-67
5,2,-92
5,2,-93
5,4,-46
5,4,-46
5,0,-65
5,0,-65
5,0,-65
5,2,-93
5,7,-65
5,7,-68
5,4,-46
5,4,-45
5,0,-65
5,7,-67
5,2,-93
5,7,-68
5,2,-93
5,2,-92
5,4,-46
5,4,-46
5,0,-64
5,2,-92
5,7,-67
5,7,-67
5,2,-92
5,0,-66
5,4,-46
5,0,-65
5,7,-67
5,7,-67
5,2,-92
5,2,-92
5,4,-45
5,1,-90
5,1,-90
5,1,-90
5,0,-66
5,4,-45
5,0,-65
5,0,-65
5,1,-90
5,1,-90
5,6,-61
5,7,-65
5,1,-90
5,2,-92
5,0,-65
5,4,-46
5,0,-65
5,7,-67
5,7,-68
5,2,-92
5,7,-65
5,2,-92
5,4,-46
5,4,-45
5,1,-90
5,4,-46
5,1,-90
5,0,-65
5,0,-66
5,1,-90
5,0,-65
5,4,-46
5,0,-65
5,6,-61
5,1,-90
5,6,-61
5,7,-67
5,2,-92
5,7,-67
5,1,-90
5,2,-91
5,0,-66
5,6,-61
5,7,-67
5,1,-91
5,2,-91
5,6,-61
5,7,-68
5,2,-92
5,1,-90
5,4,-46
5,1,-90
5,0,-65
5,6,-61
5,1,-90
5,7,-67
5,0,-65
5,0,-65
5,1,-90
5,6,-61
5,7,-67
5,2,-91
5,7,-67
5,1,-90
5,2,-92
5,0,-65
5,6,-61
5,2,-92
5,7,-67
5,1,-90
5,2,-92
5,6,-61
5,7,-67
5,2,-92
5,4,-46
5,4,-46
5,4,-45
5,1,-90
5,4,-46
5,1,-90
5,0,-65
5,0,-65
